X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,7.42E-05,2.00E-09
281,1.56E+01,2.00E-01,,
282,1.56E+01,2.00E-01,,
283,1.58E+01,2.00E-01,,
284,1.54E+01,2.00E-01,,
285,1.58E+01,2.00E-01,,
286,1.56E+01,2.00E-01,,
287,1.58E+01,2.00E-01,,
288,1.54E+01,2.00E-01,,
289,1.56E+01,2.00E-01,,
290,1.56E+01,2.00E-01,,
291,1.56E+01,2.00E-01,,
292,1.54E+01,2.00E-01,,
293,1.56E+01,2.00E-01,,
294,1.56E+01,2.00E-01,,
295,1.56E+01,-2.00E-01,,
296,1.54E+01,2.00E-01,,
297,1.58E+01,2.00E-01,,
298,1.56E+01,2.00E-01,,
299,1.58E+01,2.00E-01,,
300,1.54E+01,-2.00E-01,,
301,1.56E+01,2.00E-01,,
302,1.56E+01,2.00E-01,,
303,1.58E+01,2.00E-01,,
304,1.54E+01,-2.00E-01,,
305,1.58E+01,2.00E-01,,
306,1.56E+01,2.00E-01,,
307,1.58E+01,2.00E-01,,
308,1.56E+01,-2.00E-01,,
309,1.56E+01,2.00E-01,,
310,1.56E+01,2.00E-01,,
311,1.56E+01,-2.00E-01,,
312,1.54E+01,2.00E-01,,
313,1.56E+01,2.00E-01,,
314,1.56E+01,2.00E-01,,
315,1.56E+01,2.00E-01,,
316,1.56E+01,2.00E-01,,
317,1.58E+01,2.00E-01,,
318,1.58E+01,2.00E-01,,
319,1.58E+01,2.00E-01,,
320,1.56E+01,-2.00E-01,,
321,1.56E+01,2.00E-01,,
322,1.56E+01,2.00E-01,,
323,1.58E+01,2.00E-01,,
324,1.56E+01,-2.00E-01,,
325,1.58E+01,2.00E-01,,
326,1.56E+01,2.00E-01,,
327,1.56E+01,2.00E-01,,
328,1.54E+01,2.00E-01,,
329,1.56E+01,2.00E-01,,
330,1.56E+01,2.00E-01,,
331,1.58E+01,2.00E-01,,
332,1.54E+01,2.00E-01,,
333,1.58E+01,2.00E-01,,
334,1.56E+01,2.00E-01,,
335,1.58E+01,2.00E-01,,
336,1.54E+01,2.00E-01,,
337,1.56E+01,2.00E-01,,
338,1.56E+01,2.00E-01,,
339,1.58E+01,2.00E-01,,
340,1.56E+01,2.00E-01,,
341,1.58E+01,2.00E-01,,
342,1.56E+01,2.00E-01,,
343,1.58E+01,2.00E-01,,
344,1.54E+01,2.00E-01,,
345,1.58E+01,2.00E-01,,
346,1.56E+01,2.00E-01,,
347,1.56E+01,2.00E-01,,
348,1.54E+01,2.00E-01,,
349,1.56E+01,2.00E-01,,
350,1.56E+01,2.00E-01,,
351,1.58E+01,2.00E-01,,
352,1.56E+01,2.00E-01,,
353,1.56E+01,2.00E-01,,
354,1.56E+01,2.00E-01,,
355,1.58E+01,2.00E-01,,
356,1.56E+01,2.00E-01,,
357,1.56E+01,2.00E-01,,
358,1.56E+01,2.00E-01,,
359,1.58E+01,2.00E-01,,
360,1.56E+01,2.00E-01,,
361,1.56E+01,2.00E-01,,
362,1.56E+01,2.00E-01,,
363,1.58E+01,2.00E-01,,
364,1.54E+01,2.00E-01,,
365,1.58E+01,2.00E-01,,
366,1.56E+01,2.00E-01,,
367,1.58E+01,2.00E-01,,
368,1.54E+01,2.00E-01,,
369,1.58E+01,2.00E-01,,
370,1.56E+01,2.00E-01,,
371,1.58E+01,2.00E-01,,
372,1.56E+01,-2.00E-01,,
373,1.56E+01,2.00E-01,,
374,1.56E+01,2.00E-01,,
375,1.58E+01,2.00E-01,,
376,1.54E+01,2.00E-01,,
377,1.58E+01,2.00E-01,,
378,1.56E+01,2.00E-01,,
379,1.58E+01,2.00E-01,,
380,1.56E+01,-2.00E-01,,
381,1.56E+01,2.00E-01,,
382,1.56E+01,2.00E-01,,
383,1.58E+01,-2.00E-01,,
384,1.56E+01,2.00E-01,,
385,1.58E+01,2.00E-01,,
386,1.56E+01,2.00E-01,,
387,1.58E+01,2.00E-01,,
388,1.56E+01,-2.00E-01,,
389,1.56E+01,2.00E-01,,
390,1.56E+01,2.00E-01,,
391,1.58E+01,2.00E-01,,
