X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-1.19E-04,2.00E-07
264,1.60E+00,1.60E+01,1.58E+01,,
265,1.58E+00,1.59E+01,1.59E+01,,
266,1.60E+00,1.60E+01,1.59E+01,,
267,1.56E+00,1.59E+01,1.58E+01,,
268,1.60E+00,1.60E+01,1.58E+01,,
269,1.58E+00,1.59E+01,1.57E+01,,
270,1.60E+00,1.59E+01,1.57E+01,,
271,1.56E+00,1.60E+01,1.59E+01,,
272,1.60E+00,1.60E+01,1.59E+01,,
273,1.56E+00,1.59E+01,1.57E+01,,
274,1.60E+00,1.59E+01,1.57E+01,,
275,1.56E+00,1.58E+01,1.58E+01,,
276,1.60E+00,1.59E+01,1.58E+01,,
277,1.58E+00,1.58E+01,1.57E+01,,
278,1.60E+00,1.59E+01,1.58E+01,,
279,1.58E+00,1.58E+01,1.57E+01,,
280,1.60E+00,1.58E+01,1.58E+01,,
281,1.58E+00,1.59E+01,1.57E+01,,
282,1.60E+00,1.59E+01,1.58E+01,,
283,1.58E+00,1.57E+01,1.56E+01,,
284,1.84E+00,1.38E+01,1.36E+01,,
285,1.24E+00,1.89E+01,1.85E+01,,
286,1.52E+00,1.60E+01,1.62E+01,,
287,1.64E+00,1.55E+01,1.55E+01,,
288,1.60E+00,1.59E+01,1.60E+01,,
289,1.56E+00,1.56E+01,1.58E+01,,
290,1.60E+00,1.56E+01,1.58E+01,,
291,1.56E+00,1.58E+01,1.60E+01,,
292,1.60E+00,1.58E+01,1.59E+01,,
293,1.56E+00,1.56E+01,1.60E+01,,
294,1.58E+00,1.57E+01,1.60E+01,,
295,1.60E+00,1.55E+01,1.59E+01,,
296,1.60E+00,1.57E+01,1.59E+01,,
297,1.58E+00,1.55E+01,1.61E+01,,
298,1.60E+00,1.56E+01,1.60E+01,,
299,1.56E+00,1.55E+01,1.62E+01,,
300,2.12E+00,1.38E+01,1.36E+01,,
301,1.06E+00,1.89E+01,1.87E+01,,
302,1.80E+00,1.78E+01,1.76E+01,,
303,1.48E+00,1.39E+01,1.39E+01,,
304,1.56E+00,1.54E+01,1.59E+01,,
305,1.64E+00,1.60E+01,1.65E+01,,
306,1.60E+00,1.56E+01,1.63E+01,,
307,1.56E+00,1.58E+01,1.61E+01,,
308,1.60E+00,1.57E+01,1.62E+01,,
309,1.58E+00,1.59E+01,1.63E+01,,
310,1.60E+00,1.58E+01,1.62E+01,,
311,1.56E+00,1.59E+01,1.63E+01,,
312,1.60E+00,1.58E+01,1.62E+01,,
313,1.58E+00,1.60E+01,1.64E+01,,
314,1.56E+00,1.57E+01,1.54E+01,,
315,1.62E+00,1.61E+01,1.73E+01,,
316,1.60E+00,1.60E+01,1.63E+01,,
317,1.56E+00,1.59E+01,1.60E+01,,
318,1.58E+00,1.60E+01,1.62E+01,,
319,1.60E+00,1.59E+01,1.60E+01,,
320,1.58E+00,1.60E+01,1.61E+01,,
321,1.60E+00,1.61E+01,1.62E+01,,
322,1.60E+00,1.60E+01,1.62E+01,,
323,1.56E+00,1.62E+01,1.61E+01,,
324,1.60E+00,1.60E+01,1.60E+01,,
325,1.56E+00,1.62E+01,1.62E+01,,
326,1.60E+00,1.62E+01,1.61E+01,,
327,1.58E+00,1.61E+01,1.60E+01,,
328,1.60E+00,1.61E+01,1.60E+01,,
329,1.58E+00,1.63E+01,1.62E+01,,
330,1.64E+00,1.59E+01,1.58E+01,,
331,1.56E+00,1.65E+01,1.62E+01,,
